Отметка времени;Id;Пол;Возраст;Максимальный рейтинг в Доте;Рейтинг в доте на данный момент;Количество часов в игре (хотя бы примерное);Какое количество игр в среднем ты играешь в неделю? ;У меня ухудшается настроение, если я долго не играю в Доту 2;Почти все свое свободное время я трачу на Доту 2;Я часто играю больше, чем нужно, так как не могу остановиться (регаю новую игру);"Когда я играю в Доту я полностью над ней сосредоточен (не играю ""фо фан"")";С каждой неделей/месяцем я провожу в Доте все больше времени, чем раньше;Я часто регаю некст игру несмотря на дискомфорт (я могу играть голодный, не выспавшийся, в плохом самочувствии и т.д.);Я не рассказываю семье/друзьям о количестве часов, которое я провожу в Доте;Дота позволяет мне забыть о стрессе и жизненных проблемах ирл;Из-за количества часов, проводимых в игре я хуже учусь/работаю/выполняю иные задачи;Каждую игру в доте я играю на победу;Я часто играю в доту фо фан - мне интересен сам процесс игры (пробую разные сборки, новых героев, связки и тд);Если мне откровенно руинят игру тиммейты, я могу заруинить им в ответ;Я могу ливнуть из игры/встать в амулет, если что-то идет не так;У меня есть конкретная цель - апнуть птсы (например: взять 6к mmr или медаль властелина/дивайна/титана);Я играю в доту для того, чтобы побеждать;В доте слишком многое зависит не от меня и моей игры;Если я проигрываю, то это чаще всего связано с плохой игрой тиммейтов;Если бы у меня была сильная команда в каждой игре, я бы почти не проигрывал;Мой возможный птс намного больше, чем мой актуальный ;Я долгое время сижу на одном и том же рейтинге без видимого прогресса;У меня часто пропадает желание играть, когда мои тиммейты играют плохо;MMR - это всего лишь цифра, она не показывает реальный скилл игрока;Напиши трех героев, на которых у тебя сыграно больше всего игр, количество и винрейт на этих персонажах (например: Пудж, 152 игры, 56%):
2021/11/08 4:23:06 PM GMT+3;2734;М;16;700;625;400;1-5 игр (по выходным чисто пару каток);1;1;1;2;2;1;3;1;1;4;2;2;1;1;3;2;2;4;2;5;4;2;"Сало, 30, 65%; Омник, 35, 74%; Цм, 25, 51%"
2021/11/08 4:23:12 PM GMT+3;2735;М;27;3500;1500;4400;11-20 игр (почти каждый день по несколько игр);1;1;2;4;1;5;1;3;5;5;3;1;1;4;5;3;2;2;2;5;3;3;Фурион, 91 игра - 50,55% инвокер 138 игр - 54,35%, шторм 159 игр - 48,43%
2021/11/08 4:23:12 PM GMT+3;2736;М;16;1870;1820;500;11-20 игр (почти каждый день по несколько игр);2;2;3;4;1;3;4;2;4;4;1;2;2;4;5;2;2;3;4;1;2;3;Lone Druid ,370 игры ,65%
2021/11/08 4:23:25 PM GMT+3;2737;М;23;2800;2000;4000;6-10 игр (пару дней в неделю стабильно-дота);1;2;2;3;2;1;3;4;2;1;1;1;1;1;1;1;4;5;5;2;1;5;Techies 270 - 55%, pudge 150 50%, sf - 140 - 57%
2021/11/08 4:23:26 PM GMT+3;2738;М;15y.o.;1670;1670;1348;6-10 игр (пару дней в неделю стабильно-дота);2;1;2;4;2;1;5;2;2;4;4;2;1;4;5;3;2;5;3;2;2;2;"1)Dark Willow
Матчі
174
Відсоток перемог
50.00%
2)Slark
Матчі
100
Відсоток перемог
59.00%
3)Meepo
Матчі
92
Відсоток перемог
50.00%"
2021/11/08 4:23:37 PM GMT+3;2739;М;19;5000;1700;4,500 ч.;20-30 игр (каждый день по несколько игр);1;2;3;4;3;1;1;3;1;3;2;2;3;4;4;1;3;2;4;2;4;3;"Джагернаут, 107 игр, 53,3%
Снайпер, 98 игр, 53,1%
Мортра, 81 игра, 63%"
2021/11/08 4:23:48 PM GMT+3;2740;М;16;4800;4600;3000 часов ( 2300 матчей);11-20 игр (почти каждый день по несколько игр);2;3;1;5;1;1;2;5;2;5;1;1;1;5;4;1;2;1;1;1;3;1;"Джакиро - 271 игра, 58%;  Огр - 178 игр, 58% wr ; Аппарат - 139 игра, 59% wr."
2021/11/08 4:24:01 PM GMT+3;2741;М;21;3000;2500;2000;11-20 игр (почти каждый день по несколько игр);1;1;1;5;3;2;1;4;2;5;1;1;2;3;5;4;3;3;3;3;1;2;Феникс, Огр Маг, Троль
2021/11/08 4:24:06 PM GMT+3;2742;М;18;3740;3710;3200;11-20 игр (почти каждый день по несколько игр);1;3;2;4;2;2;3;4;3;4;2;1;1;5;4;2;3;5;4;2;2;3;"АМ, 213 игр, 63%; Нага, 163 игры, 70%; Джагер, 106 игр, 55%"
2021/11/08 4:24:11 PM GMT+3;2743;М;22;1410;Калибровка с нового акка;4000;Больше 30 игр (по много пабликов каждый день);4;5;5;4;3;3;2;2;2;5;1;2;3;5;5;4;3;4;5;5;2;5;"Некр 170 59,4%
Сало 164 54,9%
Дазл 40 70%"
2021/11/08 4:24:20 PM GMT+3;2744;М;20;3500;3190;4500;1-5 игр (по выходным чисто пару каток);1;1;3;4;1;1;3;5;4;4;2;1;1;3;5;4;3;2;3;2;4;3;Джагг 187игр 60.96% Пл  156 игр 62.82% без лица 129игр 49.61%
2021/11/08 4:24:20 PM GMT+3;2745;М;20;3200;2700;9000;20-30 игр (каждый день по несколько игр);3;4;5;3;2;5;5;5;5;3;4;4;3;2;4;3;3;4;4;5;4;4;"Врка, 437 игр, 55%; СФ, 435 игр, 55%; анти маг, 303 игры, 60%"
2021/11/08 4:24:21 PM GMT+3;2746;М;24;3300;1700;5000;11-20 игр (почти каждый день по несколько игр);1;3;2;2;3;1;1;4;2;3;3;1;1;1;3;2;2;3;4;2;1;3;На самом аккаунте где я играю сейчас с игр 2014-2015 годов остался шторм 50 игр 55% фантом Лансер 30-40 игр и последнее на юристе 15-20 игр 60%. Могу ошибаться на +/- 5%. Нет Стима под рукой
2021/11/08 4:24:25 PM GMT+3;2747;М;16;700;400;500;6-10 игр (пару дней в неделю стабильно-дота);2;3;2;3;4;1;1;5;1;2;3;1;1;4;3;5;1;2;3;1;2;5;пудж 56 игр, 80% , джагер 47 игр , 70% ,сларк 41 игра ,69% , войд (который купол) 39 игр , 60% , снайпер 35 игр , 75 % , троль 27 игр, 80% , феникс 22 игры , 60%
2021/11/08 4:24:34 PM GMT+3;2748;М;20;4300;4300;4410;1-5 игр (по выходным чисто пару каток);1;1;1;3;1;1;3;3;3;3;5;3;5;1;1;1;3;3;2;5;5;3;"Шейкер, 226 игры, 55%
Инвокер, 199 игры, 54%
Пудж, 156 игры, 55%"
2021/11/08 4:24:41 PM GMT+3;2749;М;20;1500;1500;Примерно 2000;6-10 игр (пару дней в неделю стабильно-дота);1;2;1;4;1;5;3;5;1;5;1;1;1;1;5;3;3;3;2;1;3;3;"Рики 59 игр 51%
Снайпер 52 игры 46%
Антимаг 49 игр 33%"
2021/11/08 4:24:53 PM GMT+3;2750;М;18;1500;1290;3k+;20-30 игр (каждый день по несколько игр);2;4;3;5;3;5;5;4;2;5;1;3;2;5;5;3;1;5;4;5;3;4;1. silencer +100 games, 60% WR. 2. PA +100 games, 45%, 3. sniper +100 games 50% WR
2021/11/08 4:24:55 PM GMT+3;2751;М;28;2800;1900;4200;6-10 игр (пару дней в неделю стабильно-дота);1;2;4;4;2;5;5;5;5;4;2;3;1;2;4;2;2;2;3;5;4;1;Pudge 277 игры, 49,8%: Necrophos 221 игра, 68,8%: Legion Commander 200 игр, 49,5%: Nature's  Prophet 200 игр, 46,0%: Lion 191 игра, 51,8%: Juggernaut 173 игры 59,0%: Naga Sirena 153 игры, 63,2%
2021/11/08 4:25:04 PM GMT+3;2752;М;14;4000;2480;3780;20-30 игр (каждый день по несколько игр);1;4;2;5;1;2;1;5;1;5;2;1;1;5;4;3;3;5;3;4;4;1;Боунтихантер 267 игр 85%
2021/11/08 4:25:04 PM GMT+3;2753;М;16;1400;1360;1277;Больше 30 игр (по много пабликов каждый день);1;3;4;4;2;1;1;2;3;4;4;1;1;4;5;3;3;4;4;4;4;2;антимаг 252 игры 61,1%, джагернаут 76 игр 56,6%, блудсикер 74 игры 52,7%.
2021/11/08 4:25:05 PM GMT+3;2754;М;18;Калибровка;Калибровка;393,7;11-20 игр (почти каждый день по несколько игр);3;1;1;4;2;1;3;2;1;3;2;1;1;2;2;2;1;3;3;2;1;3;"Клинкз, 34 игры, 58,8%
Дазл, 24 игры, 45,8%
Шаман, 27 игр, 40,7%"
2021/11/08 4:25:14 PM GMT+3;2755;М;17;2000;1600;1298;11-20 игр (почти каждый день по несколько игр);3;4;4;5;2;2;4;3;3;4;3;1;2;5;5;4;3;3;4;2;3;4;Лина,80 игр,55% /сайленсер,70 игр,77%/Пудж, 65 игры, 56%
2021/11/08 4:25:23 PM GMT+3;2756;М;27;3500;2000;3500;1-5 игр (по выходным чисто пару каток);1;1;1;1;1;3;1;5;5;1;5;1;1;1;3;5;1;4;5;3;1;3;Sand King, 196 игры, 54.08%. Axe, 185 игры, 51.35%. Tidehunter,152 игры, 56.58%
2021/11/08 4:25:27 PM GMT+3;2757;М;21;2к;700;4000;11-20 игр (почти каждый день по несколько игр);3;4;5;5;3;5;5;5;5;5;2;5;3;2;5;4;5;3;5;5;3;4;ВРк’а мэин 240 игр примерно 63%
2021/11/08 4:25:33 PM GMT+3;2758;М;24;1200;860;400;6-10 игр (пару дней в неделю стабильно-дота);1;1;2;3;1;1;5;3;5;4;2;3;1;2;3;3;3;4;4;3;2;4;"Инволкер 203 45.8%
Хускар 20 70%
Джаггернаут 19 42.1%"
2021/11/08 4:25:38 PM GMT+3;2759;М;19;5150;5150;5500;20-30 игр (каждый день по несколько игр);3;2;2;4;1;1;2;3;3;5;2;2;1;5;4;3;2;1;3;2;3;3;Тинкер (342, 61.7%), тракса (125, 65.6% , спамил ещё в 2015), скаймаг (124, 58.9%)
2021/11/08 4:25:48 PM GMT+3;2760;М;22;3170;2380;4660;1-5 игр (по выходным чисто пару каток);1;1;4;3;1;4;3;4;1;4;4;2;1;3;4;2;3;4;5;4;4;5;Пудж, 160 игр, 50.6%,  Шейкер, 87 игр, 51.7% , Рубик, 82 игры, 44%
2021/11/08 4:26:01 PM GMT+3;2761;М;16;870;840;1100;20-30 игр (каждый день по несколько игр);4;5;1;5;1;1;1;5;1;5;3;1;1;5;5;1;1;1;4;5;1;1;"Нага, 32 игры 90%; мк 33 игры, 55%; Эмбер 34 игры 52%"
2021/11/08 4:26:02 PM GMT+3;2762;М;16;1470;1270;850;11-20 игр (почти каждый день по несколько игр);2;2;3;4;1;2;1;3;4;4;2;3;2;5;4;2;2;1;3;4;3;2;Визаж 52 игр 65% , инвокер 81 игра 54%, Арк Варден 92 игры 52%
2021/11/08 4:26:15 PM GMT+3;2763;М;22;3250;2980;7000;6-10 игр (пару дней в неделю стабильно-дота);1;2;1;3;2;3;4;1;3;5;3;2;1;4;4;1;2;3;4;4;3;5;"Инвокер, 268, 50%
Ембер, 127, 39%
Пудж, 100, 60%"
2021/11/08 4:26:15 PM GMT+3;2764;М;17;1100;1070;1115;6-10 игр (пару дней в неделю стабильно-дота);2;1;4;4;1;4;1;3;4;4;2;4;1;1;3;1;2;3;3;2;5;2;"Рики, 152 игры, 59,9%; Дазл, 80 игр 58,7%; Фантом лансер 68 игр 54,4%."
2021/11/08 4:26:22 PM GMT+3;2765;М;20;2800;2400;3000;11-20 игр (почти каждый день по несколько игр);2;3;4;5;3;3;4;5;5;4;2;1;1;5;5;3;3;5;4;5;5;3;"Тимбер, 343 игры, 61%; Сларк, 100 игр, 63%; Энигма, 52 игры, 48%"
2021/11/08 4:26:42 PM GMT+3;2766;М;15;Ещё не открыл рейтинговые игры;Ещё не открыл рейтинговые игры;170 в доте, 70 в играх;11-20 игр (почти каждый день по несколько игр);1;1;3;4;3;2;3;5;2;4;2;2;1;5;4;2;2;5;2;3;3;2;"Сайленсер 4-5 поз(25 игр 60%)
Бейн 5 поз (20 игр 47%)
Шаман 5 поз(15 игр 35%)
p.s. на расте только учился играть и не особо зашёл перс"
2021/11/08 4:26:51 PM GMT+3;2767;М;16;2520;2500;1810 ч.;6-10 игр (пару дней в неделю стабильно-дота);3;2;4;3;2;4;1;4;3;4;3;2;2;4;5;4;3;5;4;2;3;5;"Дотабаф: (https://ru.dotabuff.com/players/246260147) 
Герои:
           Arc Warden,    209 игр,  72%
           Chaos Knight, 88 игр,    57%
           Lifestealer,      62 игры, 68%"
2021/11/08 4:26:53 PM GMT+3;2768;М;19;2319;1320;2500+-;11-20 игр (почти каждый день по несколько игр);3;2;2;4;3;2;1;3;1;4;1;1;1;5;5;2;3;4;4;2;2;4;"Вр, 320, 60%; Сайленсер 70, 70%"
2021/11/08 4:26:55 PM GMT+3;2769;М;20;3000;2310;2400;20-30 игр (каждый день по несколько игр);1;1;1;5;2;2;1;5;5;5;3;1;3;4;5;1;1;3;3;3;5;1;Акс 70 игр 69% винрейт. Лега 56 игр 72% винрейт. Бруда 60 игр 63% винрейт
2021/11/08 4:26:57 PM GMT+3;2770;М;15;1500;1400;2000;11-20 игр (почти каждый день по несколько игр);3;2;2;3;3;2;1;2;2;4;2;2;2;4;4;3;3;4;3;2;2;3;тинкер, 400 игры, 62%
2021/11/08 4:27:01 PM GMT+3;2771;М;18;250;220;400;6-10 игр (пару дней в неделю стабильно-дота);4;2;2;3;4;4;5;5;4;3;5;1;1;2;2;2;3;3;2;4;2;4;Виверна, 68 игр, 72%
2021/11/08 4:27:27 PM GMT+3;2772;М;15;800;600;1000;11-20 игр (почти каждый день по несколько игр);3;4;2;4;5;2;5;5;4;4;4;2;1;2;2;4;3;2;2;1;1;1;"дазл  35  51.43% 
сларк  34 44.12%
фантомка 20 60.00%"
2021/11/08 4:27:38 PM GMT+3;2773;М;20;~700;Рекрут5;1200;11-20 игр (почти каждый день по несколько игр);1;4;5;3;3;1;4;4;5;5;4;1;1;1;4;1;2;3;4;5;1;4;"Марс- 50 игр, 60,5%
Никс- 26 игр, 61,5%
Лион- 24 игры, 38%"
2021/11/08 4:27:41 PM GMT+3;2774;М;14;400;100;750;6-10 игр (пару дней в неделю стабильно-дота);3;2;2;1;4;2;1;4;2;3;5;3;2;3;3;2;2;2;4;2;3;3;"БаунтиХантер, 53 игры, 49% ; Лешрак, 30 игры, 56% ; Бруда, 80 игр, 60%."
2021/11/08 4:27:42 PM GMT+3;2775;М;17;Легенда 2;Легенда 1;5500;11-20 игр (почти каждый день по несколько игр);1;2;1;4;1;1;4;1;1;4;3;2;2;3;4;3;4;3;4;4;5;5;"Kunkka, 170 игр, 62,35%; Pudge, 107 игр, 52,34%; Lion, 100 игр, 61%."
2021/11/08 4:28:06 PM GMT+3;2776;Ж;23;4500;4000;4300;1-5 игр (по выходным чисто пару каток);1;1;1;1;1;1;1;4;1;3;5;1;1;1;3;3;4;3;2;3;2;4;"Techies 288 игр, 57%
Windranger 276 игр, 49%
Doom 132 игры, 63%"
2021/11/08 4:28:15 PM GMT+3;2777;М;17;4300;3860;6842;20-30 игр (каждый день по несколько игр);4;3;5;5;1;5;5;5;3;5;1;5;2;5;5;1;5;5;5;5;5;1;Сф 222 игры 48.2%  террорблейд 210 игр 58.1%  фантом ассассин 191 58.1%
2021/11/08 4:28:17 PM GMT+3;2778;М;18;3300;3100;3300;1-5 игр (по выходным чисто пару каток);1;1;1;3;1;3;5;3;3;1;3;5;3;2;3;5;3;2;2;5;3;3;"Тинкер-600/64%
Фантомка-150/69%
Инвокер-300/52%"
2021/11/08 4:28:29 PM GMT+3;2779;М;20;3500;2000;6к;Больше 30 игр (по много пабликов каждый день);3;4;5;4;5;3;5;5;5;4;2;2;1;4;4;3;3;3;3;4;5;4;"Antimag 122 57.38%
Slark  108 62.96%
Pudge 103 42%"
2021/11/08 4:28:33 PM GMT+3;2780;М;14;650;520;530;11-20 игр (почти каждый день по несколько игр);1;4;3;4;5;4;5;3;1;5;2;2;3;5;5;3;2;5;3;2;4;3;Король макак, 34 игры, 47%
2021/11/08 4:28:43 PM GMT+3;2781;М;14;1860;Калибровка;1300;20-30 игр (каждый день по несколько игр);4;2;1;3;1;5;1;5;2;3;2;3;2;4;3;2;1;4;4;1;5;3;Антимаг 78 игр 57% Хускар 45 игр 69%  Фантомка 70 игр 43%
2021/11/08 4:28:46 PM GMT+3;2782;М;26;5620;5550;7000;20-30 игр (каждый день по несколько игр);5;4;3;4;2;4;5;5;4;5;1;1;1;5;5;3;2;2;1;2;1;1;"Пудж 392 игры, 57%
ВК 287 игры, 61% на смурфе, 250 игр 49% на мейне.
Титан 187 игр, 57%"
2021/11/08 4:28:53 PM GMT+3;2783;М;21;2500 в 13 лет;1100;~3000;11-20 игр (почти каждый день по несколько игр);1;3;2;4;1;2;5;2;5;5;1;5;5;3;4;1;5;5;5;1;5;1;Витч доктор 44 игры, 66% , дарк виллоу 41 игра, 49%, аппарат 27 игр 56%
2021/11/08 4:29:05 PM GMT+3;2784;М;20;2000 с чем-то(герой 1);рыцарь 1(1600 где-то);~1000 + 377 + 114 (три аккаунта) (были ещё аккаунты, но потеряны уже и там мало часов);6-10 игр (пару дней в неделю стабильно-дота);1;2;5;4;4;5;5;5;5;4;3;1;1;5;5;3;2;1;3;3;1;2;"гримстрок(36, 52.78%), винтер виверна (16 игр на одном акке 37.50% и 10 игр на другом 70%) батрайдер (16 , 43.75%)
https://steamcommunity.com/profiles/76561198412121243/
https://steamcommunity.com/profiles/76561198274041733
https://steamcommunity.com/id/pinkesice/ (основа (хай птс игрок(топ 10 мира на никсе) (на то время 5к были боги) брал пофаниться мой акк, поэтому статистика сбита)) (остальные два акка чисто мои)
связаться со мной можно через телеграмм - @t0ksik"
2021/11/08 4:29:11 PM GMT+3;2785;М;23;500;100;700;11-20 игр (почти каждый день по несколько игр);1;1;1;3;3;2;1;3;1;5;1;1;1;3;4;2;2;5;3;5;2;2;Void Spirit, 18, 55.6%/ Shadow Shaman, 12, 58.%/ PA, 8, 62.5% (Большого количества игр в статистике нет, так как играю турбо)
2021/11/08 4:29:13 PM GMT+3;2786;М;19;1340;1340;900;11-20 игр (почти каждый день по несколько игр);1;2;2;4;1;2;1;2;3;4;1;1;1;2;5;4;3;2;4;5;2;2;"Jakiro 48 63%; Lion 41 44%; Тракса 26 77%"
2021/11/08 4:29:26 PM GMT+3;2787;М;16;2300;1890-2000;5000;6-10 игр (пару дней в неделю стабильно-дота);3;2;2;4;2;2;2;5;1;4;4;1;1;4;4;2;2;3;5;4;2;5;тинкер,53 игры, 53%/морф,26 игры, 62%/ инвокер, 88 игры, 40%
2021/11/08 4:29:30 PM GMT+3;2788;М;25;2к;400;5200ч;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);2;4;5;5;3;5;1;5;4;4;3;5;1;5;5;3;3;3;5;5;3;5;нет доступа к компу
2021/11/08 4:29:35 PM GMT+3;2789;М;20;3300;3300;3650;1-5 игр (по выходным чисто пару каток);1;1;1;3;1;1;5;3;2;4;3;1;1;2;5;2;2;4;3;5;3;3;"Пудж,155 игр, 58,7%: Фантом Ассасин, 76 игр, 56,6%; Снайпер, 76 игр, 67,1%"
2021/11/08 4:29:37 PM GMT+3;2790;М;21;2800;2300;3000;1-5 игр (по выходным чисто пару каток);1;1;3;4;2;1;3;5;2;5;3;2;1;4;5;3;3;5;5;5;5;2;Pudge WR Invoker
2021/11/08 4:29:45 PM GMT+3;2791;М;21;4450;3850;5000;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);1;5;3;5;1;1;1;1;1;5;1;1;1;5;5;3;5;5;2;5;1;5;тинкер 500+ на разных аккаунтах 67% примерно, шторм 300+ 60% примерно, сф 250+ 55% примерно
2021/11/08 4:29:56 PM GMT+3;2792;М;19;150;150;1500;11-20 игр (почти каждый день по несколько игр);5;3;3;4;2;5;5;5;2;5;1;1;1;5;5;3;2;2;5;5;5;1;Цк, Хускар, Пл
2021/11/08 4:30:06 PM GMT+3;2793;М;14;880;880;980;20-30 игр (каждый день по несколько игр);2;2;2;3;2;1;3;2;1;4;2;3;2;2;4;1;3;5;5;1;3;4;"Пудж, 61 игра, 59% ; Земеля 59 игр, 55.9% ; Спектра 55 игр, 58.2%"
2021/11/08 4:30:07 PM GMT+3;2794;М;20;1600;1540;2200;11-20 игр (почти каждый день по несколько игр);2;4;1;4;1;1;1;1;3;4;2;5;1;5;5;1;2;4;3;5;1;2;Люкан 230 игр- 66,4%, УРСА 78 игр 40%(первые игры в доте на нем играл со странными сборками), свен 64, 62.5%
2021/11/08 4:30:10 PM GMT+3;2795;Ж;18;3000;2880;1456;6-10 игр (пару дней в неделю стабильно-дота);2;3;4;5;3;4;2;4;3;4;2;1;1;3;4;2;2;1;1;3;3;4;"Ogre Magi, 164 игры, 52%; Witch Doctor, 161 игра, 51%; Lich, 143 игры, 52%"
2021/11/08 4:30:14 PM GMT+3;2796;М;20;210;50;1020;11-20 игр (почти каждый день по несколько игр);2;1;2;3;1;1;1;3;4;5;2;1;2;5;5;1;3;4;2;5;5;1;"Chen
Матчи
(140).<50.00% >
Warlock 
(68),<41.18% >   
(Lone Druid 45)
<42.22% >"
2021/11/08 4:30:27 PM GMT+3;2797;М;20;2450;2320;2890;11-20 игр (почти каждый день по несколько игр);3;3;4;4;2;5;5;4;5;5;2;1;1;4;5;3;4;4;3;1;3;2;Некрофос 146 игр 55%, баунти хантер 98 игр 62% рики 84 61%
2021/11/08 4:30:50 PM GMT+3;2798;М;16;1100;300;8000;20-30 игр (каждый день по несколько игр);4;5;4;3;3;5;5;5;2;4;2;3;1;3;1;4;5;1;5;5;3;5;"инваркел, 200 игр, 65%
огриное ебало, 50 игр, 78%
юра джаггернаутович 60 игр, 48%"
2021/11/08 4:30:52 PM GMT+3;2799;М;18;420;90;734;1-5 игр (по выходным чисто пару каток);1;1;3;4;1;2;3;2;2;5;1;2;1;4;4;2;4;5;5;5;2;3;Hoodwink, 71 игра, 46,5%. Enchantress, 40 игр, 57,5%. Slardar, 38 игр, 52,6%
2021/11/08 4:30:54 PM GMT+3;2800;М;16;900;680;400;1-5 игр (по выходным чисто пару каток);3;1;1;3;1;1;5;1;1;4;3;3;1;3;3;3;4;4;4;3;4;4;(VoidS, 10, 65%) (huskar, 8, 60%) (QoP, 6, 70%)
2021/11/08 4:31:01 PM GMT+3;2801;М;228;3660;3660;2600;11-20 игр (почти каждый день по несколько игр);2;1;1;4;2;1;1;5;1;4;3;1;1;5;4;2;4;4;5;1;1;2;Сларк, 56 игр, 43%. Шторм, 53 игры, 60%. Антимаг, 50 игр, 70%
2021/11/08 4:31:06 PM GMT+3;2802;М;16;1300;1200;557;11-20 игр (почти каждый день по несколько игр);2;3;1;5;1;4;5;5;4;5;1;1;1;1;2;5;2;5;5;1;2;5;"Shadow Fiend

130
52.31
Pudge
45
40.00% )))))

Monkey King
39
69.23%"
2021/11/08 4:31:07 PM GMT+3;2803;М;18;3010;2950;4000;20-30 игр (каждый день по несколько игр);1;3;4;4;2;2;3;4;2;4;2;4;3;5;4;2;3;5;4;2;3;4;Мк, 501 игра, 59%. СФ 138 игры, 54%. Вокер, 127 игр, 39%
2021/11/08 4:31:15 PM GMT+3;2804;М;22;3100;1900;2000;1-5 игр (по выходным чисто пару каток);1;1;1;2;1;3;2;5;3;1;5;3;2;1;1;2;2;2;1;5;1;5;"Грим, 20 игр, 80% 
Дазл, 25 игр, 60%
Огр, 50 игр, 60%"
2021/11/08 4:31:18 PM GMT+3;2805;М;17;5050;4530;3100;6-10 игр (пару дней в неделю стабильно-дота);2;3;3;4;1;1;4;2;2;5;3;1;1;4;5;3;2;4;3;3;3;2;"Течис, 381 игра, 60.10%
Инвокер, 214 игр, 60.75%
Грим, 182 игры, 54.40%"
2021/11/08 4:31:20 PM GMT+3;2806;М;18;2020;900;1,5к;6-10 игр (пару дней в неделю стабильно-дота);3;4;3;4;3;3;5;3;3;4;2;1;1;5;4;3;2;4;2;4;4;3;Земеля(52% 150 игр), Морф(63% 50 игр), Рубик (40% 70 игр)
2021/11/08 4:31:39 PM GMT+3;2807;М;17;3400;400;2400;6-10 игр (пару дней в неделю стабильно-дота);2;1;1;5;1;1;1;5;1;5;3;1;1;1;1;1;4;5;5;1;4;5;"Кунка - 214 игр , 58%
Лина - 134 игр, 52,2 % 
Оракл- 108 игр, 53%"
2021/11/08 4:31:42 PM GMT+3;2808;М;16;2100;1900;3к;20-30 игр (каждый день по несколько игр);2;2;2;5;3;1;2;1;1;5;1;1;1;5;5;2;2;1;3;5;1;4;дровка игр 160 60%, джага 70 игр 43%, троль 300+ игр 50%
2021/11/08 4:31:51 PM GMT+3;2809;М;42;1400;200;1200;6-10 игр (пару дней в неделю стабильно-дота);1;1;2;1;2;2;3;2;2;2;3;2;1;2;4;3;2;4;3;3;4;2;Undying 89 игр 55%, crystal maiden 70игр 58%, Enigma67игр 46%
2021/11/08 4:32:04 PM GMT+3;2810;М;26;3300;2010;3000;6-10 игр (пару дней в неделю стабильно-дота);4;2;4;4;3;4;5;3;5;4;2;1;1;4;5;2;3;4;4;4;4;1;Crystal maiden, 144 игры, 49%
2021/11/08 4:32:14 PM GMT+3;2811;М;17;800;перекалибровка ;1000;11-20 игр (почти каждый день по несколько игр);3;2;2;4;3;2;1;4;3;4;2;3;2;3;5;3;4;5;5;2;3;3;"(1-арк, 119 игр, 61,34%; 2-феникс, 32 игры, 50%; 3-ам, 28 игр, 60,7%)."
2021/11/08 4:32:16 PM GMT+3;2812;М;22;2050;1900;1950;20-30 игр (каждый день по несколько игр);1;1;1;5;1;1;1;1;1;5;1;1;1;5;5;5;3;5;5;1;4;3;"Лина 54.6% 108 игр
Сф 50% 81 игра
Мортра 53.5% 71 игра"
2021/11/08 4:32:25 PM GMT+3;2813;М;15;500;350;200;11-20 игр (почти каждый день по несколько игр);3;1;2;2;4;3;1;4;1;2;4;1;1;1;3;3;3;3;3;4;3;4;Фантомка 40 игр, 40%. Макака 35 игр 52%. Пудж 30 игр 47%
2021/11/08 4:32:27 PM GMT+3;2814;М;13;1250+- (нету рейтинга);1250+- (нету рейтинга);500;11-20 игр (почти каждый день по несколько игр);2;3;2;4;5;1;4;3;1;5;1;2;1;4;5;3;2;4;3;1;2;4;"Invoker - 13 игр; 23% winrate; 
Void Spirit - 11 игр; 72.5% winrate
Lina - 9 игр; 44.5% winrate

gl seregga, не играю часто в доту, но помочь с опросом не против"
2021/11/08 4:32:46 PM GMT+3;2815;М;16;+- 1100;940;750;11-20 игр (почти каждый день по несколько игр);3;3;2;4;4;1;3;3;2;4;1;1;1;4;4;5;2;2;4;2;4;4;Мипо, 110 игр, 63,6%. Цмка, 67 игр(алл пик, пока 100 часов наигрывал) 68,7%. Ember spirit, 32 игры, 62,5%
2021/11/08 4:32:47 PM GMT+3;2816;М;17;5200;4500;6500;11-20 игр (почти каждый день по несколько игр);3;4;5;4;1;1;2;1;1;5;3;1;1;5;5;3;4;5;5;1;4;5;"MK, 175 игр, 57.14%; Пижпужпаж, 141 игра, 51.77%; чадофинт, 108 игр, 54.63%"
2021/11/08 4:32:52 PM GMT+3;2817;М;15;1300;1100;1800;1-5 игр (по выходным чисто пару каток);3;1;1;4;2;2;1;3;3;4;2;1;1;5;4;5;1;2;2;5;3;1;Морф 102 игры 47%, Пудж 99 игр 53%, Анти маг 68 игр 63%
2021/11/08 4:32:53 PM GMT+3;2818;М;16;1500;970;1000;11-20 игр (почти каждый день по несколько игр);1;1;4;3;1;2;2;4;4;4;4;4;3;3;4;4;2;5;4;3;5;4;"Мипо,300 игр, 65%; Пудж,90 игр, 49%"
2021/11/08 4:33:05 PM GMT+3;2819;Ж;15;720;470;1500;20-30 игр (каждый день по несколько игр);3;4;2;4;3;1;1;3;2;5;1;1;2;5;5;5;5;5;1;5;4;2;брюмастер (336 игры.57%) .воид спирит (249 игры.49%) баунти хантер(30 игры.63%)
2021/11/08 4:33:10 PM GMT+3;2820;М;18;3600;2800;4000;6-10 игр (пару дней в неделю стабильно-дота);3;3;2;5;3;5;5;5;4;5;2;2;2;5;5;3;1;5;5;3;1;1;Арк варден-109 игр и 55% винрейт
